12	12	11111	INFORMATION BUILDERS    0123456	    0111111
12	12	12345	CAREER TRAINING CTR     1234567	    2222222
22	10	22222	HOMELITE TEXTRON CO     3454500	    0000000
22	14	34567	NEAS MEMBER BENEFITS    0011111	    0000000
22	14	55555	PILOT LIFE INS. CO.     1000000	    0100000
34	10	00111	DAUPHIN DEPOSIT BANK	1409900	    1993000
34	10	54321	AIRCRAFT OWNERS ASSC	0542612	    4042000
34	17	33333	NORFOLK CORP	        0639635	    0446288
47	11	12121	GENERAL SERVICES CO.	1144400	    1105956
47	11	24680	INFO MANAGEMENT CO.     1748145	    1189247
47	21	99999	DOLLAR SAVINGS BANK     0505900	    0462195
47	21	76543	NATL MUSIC CORP.        0238346	    0443526
